,start,end,duration,magnitude,severity
25,1992-07-01 00:00:00,1993-11-01 00:00:00,17,-15.658293852934793,-1.8833415523312884
26,1996-04-01 00:00:00,1998-12-01 00:00:00,33,-24.45450448753415,-1.8640109604214845
27,2001-04-01 00:00:00,2002-10-01 00:00:00,19,-10.566112688363393,-1.2191238324147742
28,1975-02-01 00:00:00,1978-04-01 00:00:00,39,-37.300178337121714,-1.7863713862789483
29,1978-11-01 00:00:00,1985-08-01 00:00:00,82,-70.93713267086106,-2.416111737517957
30,1992-03-01 00:00:00,1995-02-01 00:00:00,36,-26.614403107953382,-1.550576074457934
31,1998-11-01 00:00:00,2001-01-01 00:00:00,27,-21.101892150336766,-1.404184304045696
32,2007-04-01 00:00:00,2008-04-01 00:00:00,13,-10.615869527608158,-1.2424725256576574
33,2009-05-01 00:00:00,2012-03-01 00:00:00,35,-15.247434303719077,-1.0065254486538535
34,2013-12-01 00:00:00,2015-09-01 00:00:00,22,-13.146858164807231,-1.0095607496324226
35,1970-12-01 00:00:00,1972-04-01 00:00:00,17,-15.246164360729685,-1.59919024418252
36,1974-09-01 00:00:00,1977-09-01 00:00:00,37,-20.966305505853494,-1.302160723712329
37,1982-12-01 00:00:00,1985-11-01 00:00:00,36,-32.192236660024115,-1.5226697758978451
38,1986-12-01 00:00:00,1988-03-01 00:00:00,16,-10.462900647750839,-1.121664285705846
39,1994-01-01 00:00:00,1994-12-01 00:00:00,12,-6.3119641730415355,-1.0719201773716784
40,2000-06-01 00:00:00,2003-02-01 00:00:00,33,-22.304858555165133,-1.503197795809105
41,2003-06-01 00:00:00,2007-03-01 00:00:00,46,-28.78337314540452,-1.2484291292559453
42,2009-03-01 00:00:00,2010-08-01 00:00:00,18,-17.668479359824385,-2.048075149810375
43,1971-02-01 00:00:00,1971-11-01 00:00:00,10,-7.126229736837073,-1.1209034969309528
44,1985-12-01 00:00:00,1988-10-01 00:00:00,35,-41.34633538307502,-2.194411272272723
45,1999-08-01 00:00:00,2002-02-01 00:00:00,31,-27.468660558155488,-1.9909866762175934
46,2004-04-01 00:00:00,2005-05-01 00:00:00,14,-7.769546560883917,-1.034917115730504
47,2006-03-01 00:00:00,2008-04-01 00:00:00,26,-23.06654352094636,-1.6945559850926029
48,2009-02-01 00:00:00,2011-05-01 00:00:00,28,-21.394913614983576,-1.4722319686013665
49,2012-08-01 00:00:00,2013-09-01 00:00:00,14,-7.5163376984346355,-1.0419827328369367
50,1970-12-01 00:00:00,1972-05-01 00:00:00,18,-12.808501855855937,-1.2309745689631595
51,1981-02-01 00:00:00,1982-03-01 00:00:00,14,-15.143759734994045,-2.2181033542906823
52,1989-02-01 00:00:00,1990-05-01 00:00:00,16,-16.41769848873674,-2.2195293461115773
53,1990-10-01 00:00:00,1993-04-01 00:00:00,31,-16.094752765344637,-1.335424182106704
54,1999-03-01 00:00:00,2003-01-01 00:00:00,47,-51.73269678847187,-2.551663803256762
55,2004-07-01 00:00:00,2005-09-01 00:00:00,15,-7.606056145056011,-1.4323115885300246
56,2005-11-01 00:00:00,2008-01-01 00:00:00,27,-27.938507058517253,-2.5361192380614215
57,1971-04-01 00:00:00,1974-12-01 00:00:00,45,-33.925556885787024,-2.423028036712451
58,1975-02-01 00:00:00,1977-03-01 00:00:00,26,-20.364872428590974,-1.597562541620896
59,1978-04-01 00:00:00,1980-12-01 00:00:00,33,-28.51280203633038,-1.4698976536444455
60,1983-04-01 00:00:00,1984-04-01 00:00:00,13,-11.604904981931242,-1.4778935276678709
61,1990-09-01 00:00:00,1992-12-01 00:00:00,28,-30.487123586555633,-2.3238513228671893
62,1993-10-01 00:00:00,1994-12-01 00:00:00,15,-8.687164134631507,-1.045678909103344
63,1995-05-01 00:00:00,1997-10-01 00:00:00,30,-17.878890962441044,-1.6868594952458218
64,2002-02-01 00:00:00,2003-03-01 00:00:00,14,-21.317584810590066,-3.0767424925141436
65,2004-03-01 00:00:00,2005-12-01 00:00:00,22,-15.803969275945594,-1.0642254481406093
66,2007-12-01 00:00:00,2010-02-01 00:00:00,27,-16.687233904116148,-1.1796948872362307
67,1977-02-01 00:00:00,1978-11-01 00:00:00,22,-16.80623565723444,-1.3635144841733653
68,1982-01-01 00:00:00,1984-09-01 00:00:00,33,-32.482541757728534,-5.250984714865965
69,1988-03-01 00:00:00,1989-02-01 00:00:00,12,-8.926638055756769,-1.4105615042400408
70,1992-12-01 00:00:00,1995-03-01 00:00:00,28,-30.35481197552257,-1.7177694691647742
71,1997-03-01 00:00:00,1998-01-01 00:00:00,11,-6.2354015077279765,-1.0336891669752668
72,2001-01-01 00:00:00,2001-12-01 00:00:00,12,-8.038910705260834,-1.041040831442046
73,2009-03-01 00:00:00,2011-06-01 00:00:00,28,-27.167044431266614,-1.8341429494835217
74,2013-12-01 00:00:00,2014-03-01 00:00:00,4,-2.6490493809509474,-1.0205786547506623
